Time(s),CH1V,CH2V
2.640000e-04,7.066667e-03,3.188533e+00
2.660000e-04,3.145867e+00,3.167200e+00
2.680000e-04,3.137067e+00,3.180000e+00
2.700000e-04,5.133333e-02,5.493334e-02
2.720000e-04,4.253333e-02,5.706667e-02
2.740000e-04,3.800000e-02,5.706667e-02
2.760000e-04,3.121600e+00,8.066667e-02
2.780000e-04,3.141467e+00,3.573333e-02
2.800000e-04,5.800000e-02,2.337867e+00
2.820000e-04,5.133333e-02,3.160800e+00
2.840000e-04,2.480000e-02,3.171467e+00
2.860000e-04,2.949200e+00,3.184267e+00
2.880000e-04,3.130400e+00,3.173600e+00
2.900000e-04,3.145867e+00,3.167200e+00
2.920000e-04,3.134800e+00,7.853334e-02
2.940000e-04,3.108400e+00,5.706667e-02
2.960000e-04,3.586667e-02,3.043200e+00
2.980000e-04,4.693333e-02,3.165067e+00
3.000000e-04,2.920000e-02,3.162933e+00
3.020000e-04,3.137067e+00,3.177867e+00
3.040000e-04,3.134800e+00,3.165067e+00
3.060000e-04,5.800000e-02,3.150133e+00
3.080000e-04,2.253333e-02,3.156533e+00
3.100000e-04,9.333333e-03,3.165067e+00
3.120000e-04,3.008800e+00,3.175733e+00
3.140000e-04,3.134800e+00,3.167200e+00
3.160000e-04,2.666667e-03,3.162933e+00
3.180000e-04,3.586667e-02,6.133333e-02
3.200000e-04,1.813333e-02,4.640000e-02
3.220000e-04,9.996000e-01,7.853334e-02
3.240000e-04,3.150267e+00,6.786667e-02
3.260000e-04,3.148133e+00,4.213334e-02
3.280000e-04,2.706667e-02,3.135067e+00
3.300000e-04,4.026667e-02,3.160800e+00
3.320000e-04,2.706667e-02,3.188533e+00
3.340000e-04,3.134800e+00,3.192800e+00
3.360000e-04,3.137067e+00,3.167200e+00
3.380000e-04,4.693333e-02,7.000000e-02
3.400000e-04,4.693333e-02,7.640000e-02
3.420000e-04,3.146667e-02,4.640000e-02
3.440000e-04,3.123867e+00,7.213333e-02
3.460000e-04,3.148133e+00,7.213333e-02
3.480000e-04,4.026667e-02,8.493333e-02
3.500000e-04,4.026667e-02,3.156533e+00
3.520000e-04,9.333333e-03,3.169333e+00
3.540000e-04,2.770133e+00,3.188533e+00
3.560000e-04,3.137067e+00,3.156533e+00
3.580000e-04,3.119333e+00,3.150133e+00
3.600000e-04,2.480000e-02,3.167200e+00
3.620000e-04,4.253333e-02,3.167200e+00
3.640000e-04,4.466667e-02,3.169333e+00
3.660000e-04,3.123867e+00,3.184267e+00
3.680000e-04,3.137067e+00,3.167200e+00
3.700000e-04,4.026667e-02,5.066667e-02
3.720000e-04,5.800000e-02,5.066667e-02
3.740000e-04,2.666667e-03,6.133333e-02
3.760000e-04,3.128267e+00,5.280000e-02
3.780000e-04,3.126000e+00,4.640000e-02
3.800000e-04,3.800000e-02,4.640000e-02
3.820000e-04,3.360000e-02,4.640000e-02
3.840000e-04,1.600000e-02,5.280000e-02
3.860000e-04,3.061867e+00,4.853334e-02
3.880000e-04,3.132667e+00,5.493334e-02
3.900000e-04,2.480000e-02,-3.938667e-01
3.920000e-04,5.360000e-02,6.573334e-02
3.940000e-04,1.600000e-02,6.133333e-02
3.960000e-04,2.208667e+00,5.706667e-02
3.980000e-04,3.145867e+00,7.213333e-02
4.000000e-04,3.134800e+00,7.853334e-02
4.020000e-04,4.026667e-02,5.706667e-02
4.040000e-04,4.026667e-02,6.133333e-02
4.060000e-04,3.146667e-02,8.493333e-02
4.080000e-04,3.141467e+00,7.426666e-02
4.100000e-04,3.137067e+00,9.133334e-02
4.120000e-04,2.480000e-02,6.346667e-02
4.140000e-04,4.693333e-02,6.573334e-02
4.160000e-04,3.800000e-02,5.920000e-02
4.180000e-04,3.119333e+00,7.426666e-02
4.200000e-04,3.134800e+00,4.640000e-02
4.220000e-04,4.026667e-02,1.241333e+00
4.240000e-04,4.906667e-02,3.162933e+00
4.260000e-04,2.253333e-02,3.177867e+00
4.280000e-04,2.993333e+00,3.190667e+00
4.300000e-04,3.148133e+00,3.182133e+00
4.320000e-04,-8.573333e-02,3.165067e+00
4.340000e-04,4.693333e-02,8.280000e-02
4.360000e-04,2.480000e-02,5.706667e-02
4.380000e-04,6.813334e-01,3.786667e-02
4.400000e-04,3.130400e+00,4.000000e-02
4.420000e-04,3.145867e+00,7.000000e-02
4.440000e-04,6.240000e-02,4.640000e-02
4.460000e-04,4.693333e-02,5.280000e-02
4.480000e-04,5.360000e-02,5.280000e-02
4.500000e-04,3.132667e+00,6.786667e-02
4.520000e-04,3.145867e+00,5.066667e-02
4.540000e-04,5.360000e-02,5.920000e-02
4.560000e-04,4.253333e-02,5.493334e-02
4.580000e-04,2.040000e-02,6.786667e-02
4.600000e-04,3.108400e+00,7.213333e-02
4.620000e-04,3.128267e+00,5.706667e-02
4.640000e-04,5.133333e-02,8.066667e-02
4.660000e-04,3.800000e-02,6.786667e-02
4.680000e-04,2.040000e-02,6.133333e-02
4.700000e-04,2.730400e+00,7.000000e-02
4.720000e-04,3.130400e+00,5.920000e-02
4.740000e-04,3.143733e+00,6.786667e-02
4.760000e-04,1.813333e-02,8.493333e-02
4.780000e-04,2.920000e-02,5.706667e-02
4.800000e-04,4.253333e-02,5.280000e-02
4.820000e-04,3.134800e+00,7.426666e-02
4.840000e-04,3.145867e+00,6.346667e-02
4.860000e-04,5.360000e-02,5.920000e-02
4.880000e-04,3.586667e-02,8.066667e-02
4.900000e-04,3.586667e-02,6.346667e-02
4.920000e-04,3.145867e+00,6.573334e-02
4.940000e-04,3.123867e+00,6.346667e-02
4.960000e-04,3.360000e-02,2.376267e+00
4.980000e-04,2.040000e-02,3.173600e+00
5.000000e-04,2.480000e-02,3.182133e+00
5.020000e-04,3.055333e+00,3.192800e+00
5.040000e-04,3.150267e+00,3.177867e+00
5.060000e-04,9.773333e-02,3.092400e+00
5.080000e-04,3.800000e-02,5.920000e-02
5.100000e-04,-3.866667e-03,2.933333e-02
5.120000e-04,2.131333e+00,1.866667e-02
5.140000e-04,3.141467e+00,5.066667e-02
5.160000e-04,3.134800e+00,6.786667e-02
5.180000e-04,3.586667e-02,3.152267e+00
5.200000e-04,1.373333e-02,3.162933e+00
5.220000e-04,2.706667e-02,3.177867e+00
5.240000e-04,3.148133e+00,3.167200e+00
5.260000e-04,3.134800e+00,3.173600e+00
5.280000e-04,2.253333e-02,7.213333e-02
5.300000e-04,5.133333e-02,6.346667e-02
5.320000e-04,1.600000e-02,7.000000e-02
5.340000e-04,3.130400e+00,6.133333e-02
5.360000e-04,3.156933e+00,3.573333e-02
5.380000e-04,4.906667e-02,1.087333e+00
5.400000e-04,3.800000e-02,3.175733e+00
5.420000e-04,4.466667e-02,3.162933e+00
5.440000e-04,2.953600e+00,3.192800e+00
5.460000e-04,3.154800e+00,3.182133e+00
5.480000e-04,3.145867e+00,3.175733e+00
5.500000e-04,4.466667e-02,6.133333e-02
5.520000e-04,2.920000e-02,4.640000e-02
5.540000e-04,4.253333e-02,4.640000e-02
5.560000e-04,3.143733e+00,6.133333e-02
5.580000e-04,3.141467e+00,4.426667e-02
5.600000e-04,5.360000e-02,3.086000e+00
5.620000e-04,2.920000e-02,3.162933e+00
5.640000e-04,2.920000e-02,3.160800e+00
5.660000e-04,3.134800e+00,3.186400e+00
5.680000e-04,3.137067e+00,3.169333e+00
5.700000e-04,2.480000e-02,7.853334e-02
5.720000e-04,3.586667e-02,5.493334e-02
5.740000e-04,1.600000e-02,6.786667e-02
5.760000e-04,3.068533e+00,5.280000e-02
5.780000e-04,3.130400e+00,5.493334e-02
5.800000e-04,3.146667e-02,5.066667e-02
5.820000e-04,5.360000e-02,3.169333e+00
5.840000e-04,3.586667e-02,3.167200e+00
5.860000e-04,1.936800e+00,3.171467e+00
5.880000e-04,3.137067e+00,3.182133e+00
5.900000e-04,3.150267e+00,3.173600e+00
5.920000e-04,3.141467e+00,7.213333e-02
5.940000e-04,3.150267e+00,6.573334e-02
5.960000e-04,2.480000e-02,2.408400e+00
5.980000e-04,7.560000e-02,3.158667e+00
6.000000e-04,2.480000e-02,3.177867e+00
6.020000e-04,3.050800e+00,3.184267e+00
6.040000e-04,3.126000e+00,3.167200e+00
6.060000e-04,4.026667e-02,3.103067e+00
6.080000e-04,4.253333e-02,3.184267e+00
6.100000e-04,9.333333e-03,3.167200e+00
6.120000e-04,2.250667e+00,3.171467e+00
6.140000e-04,3.141467e+00,3.152267e+00
6.160000e-04,3.145867e+00,3.156533e+00
6.180000e-04,3.360000e-02,6.346667e-02
6.200000e-04,1.373333e-02,4.853334e-02
6.220000e-04,2.040000e-02,4.213334e-02
6.240000e-04,3.139333e+00,3.573333e-02
6.260000e-04,3.139333e+00,6.133333e-02
6.280000e-04,4.906667e-02,3.011200e+00
6.300000e-04,3.586667e-02,3.156533e+00
6.320000e-04,2.920000e-02,3.171467e+00
6.340000e-04,3.126000e+00,3.186400e+00
6.360000e-04,3.137067e+00,3.173600e+00
6.380000e-04,3.800000e-02,1.866667e-02
6.400000e-04,4.026667e-02,6.133333e-02
6.420000e-04,4.026667e-02,4.213334e-02
6.440000e-04,2.984533e+00,5.280000e-02
6.460000e-04,3.134800e+00,4.426667e-02
6.480000e-04,2.666667e-03,9.133334e-02
6.500000e-04,4.693333e-02,3.145867e+00
6.520000e-04,3.146667e-02,3.173600e+00
6.540000e-04,7.586667e-01,3.184267e+00
6.560000e-04,3.141467e+00,3.171467e+00
6.580000e-04,3.145867e+00,3.177867e+00
6.600000e-04,4.693333e-02,3.162933e+00
6.620000e-04,1.813333e-02,3.182133e+00
6.640000e-04,3.800000e-02,3.175733e+00
6.660000e-04,3.119333e+00,3.177867e+00
6.680000e-04,3.141467e+00,3.162933e+00
6.700000e-04,3.586667e-02,5.493334e-02
6.720000e-04,3.146667e-02,5.280000e-02
6.740000e-04,3.586667e-02,6.786667e-02
6.760000e-04,3.114933e+00,5.493334e-02
6.780000e-04,3.145867e+00,5.706667e-02
6.800000e-04,4.693333e-02,1.084000e-01
6.820000e-04,4.693333e-02,6.786667e-02
6.840000e-04,4.693333e-02,6.786667e-02
6.860000e-04,2.767867e+00,8.280000e-02
6.880000e-04,3.128267e+00,6.346667e-02
6.900000e-04,3.161333e+00,7.213333e-02
6.920000e-04,3.586667e-02,5.706667e-02
6.940000e-04,3.586667e-02,6.786667e-02
6.960000e-04,1.600000e-02,7.426666e-02
6.980000e-04,3.141467e+00,5.706667e-02
7.000000e-04,3.130400e+00,5.280000e-02
7.020000e-04,2.706667e-02,5.706667e-02
7.040000e-04,4.933333e-03,6.786667e-02
7.060000e-04,3.146667e-02,6.133333e-02
7.080000e-04,3.114933e+00,7.853334e-02
7.100000e-04,3.152533e+00,6.573334e-02
7.120000e-04,5.573333e-02,5.706667e-02
7.140000e-04,3.586667e-02,8.493333e-02
7.160000e-04,2.920000e-02,5.493334e-02
7.180000e-04,3.070800e+00,7.853334e-02
7.200000e-04,3.134800e+00,6.786667e-02
7.220000e-04,9.560000e-02,1.041333e-01
7.240000e-04,3.146667e-02,3.162933e+00
7.260000e-04,9.333333e-03,3.177867e+00
7.280000e-04,2.102533e+00,3.184267e+00
7.300000e-04,3.117200e+00,3.177867e+00
7.320000e-04,3.134800e+00,3.177867e+00
7.340000e-04,3.800000e-02,7.853334e-02
7.360000e-04,2.706667e-02,3.146667e-02
7.380000e-04,3.586667e-02,6.133333e-02
7.400000e-04,3.148133e+00,5.280000e-02
7.420000e-04,3.139333e+00,5.280000e-02
7.440000e-04,4.253333e-02,5.706667e-02
7.460000e-04,5.573333e-02,4.000000e-02
7.480000e-04,4.693333e-02,4.640000e-02
7.500000e-04,3.108400e+00,5.493334e-02
7.520000e-04,3.126000e+00,7.853334e-02
7.540000e-04,3.800000e-02,6.133333e-02
7.560000e-04,1.813333e-02,7.853334e-02
7.580000e-04,7.346667e-02,6.786667e-02
7.600000e-04,2.942533e+00,7.213333e-02
7.620000e-04,3.137067e+00,5.920000e-02
7.640000e-04,-3.288000e-01,8.280000e-02
7.660000e-04,4.693333e-02,3.162933e+00
7.680000e-04,2.040000e-02,3.173600e+00
7.700000e-04,3.984000e-01,3.177867e+00
7.720000e-04,3.137067e+00,3.177867e+00
7.740000e-04,3.150267e+00,3.167200e+00
7.760000e-04,2.040000e-02,5.920000e-02
7.780000e-04,3.146667e-02,5.706667e-02
7.800000e-04,2.480000e-02,5.066667e-02
7.820000e-04,3.139333e+00,4.426667e-02
7.840000e-04,3.156933e+00,5.066667e-02
7.860000e-04,1.160000e-02,5.066667e-02
7.880000e-04,2.480000e-02,5.066667e-02
7.900000e-04,4.906667e-02,5.920000e-02
